CallNumber,CallType,UnitType,ReceivedDtTm,DispatchDtTm,ResponseDtTm,OnSceneDtTm,AvailableDtTm,City,Latitude,Longitude,RouteID,DestinationName,DestinationLat,DestinationLon
900000,Medical Incident,MEDIC,2024-02-18 23:29:00,2024-02-18 23:30:00,2024-02-18 23:38:00,2024-02-18 23:43:00,2024-02-18 23:56:00,Chicago,41.958631,-87.572573,R10000,Norwegian American Hospital (Humboldt Park),41.901888,-87.703681
900001,Traffic Collision,MEDIC,2024-03-03 06:58:00,2024-03-03 06:59:00,2024-03-03 07:03:00,2024-03-03 07:06:00,2024-03-03 07:26:00,Chicago,41.853166,-87.64529,R10001,UIC Hospital,41.873579,-87.673233
900002,Medical Incident,MEDIC,2024-06-14 03:57:00,2024-06-14 04:01:00,2024-06-14 04:04:00,2024-06-14 04:11:00,2024-06-14 04:23:00,Chicago,41.642506,-87.632544,R10002,Rush University Medical Center,41.873419,-87.676525
900003,Medical Incident,MEDIC,2024-01-18 03:17:00,2024-01-18 03:23:00,2024-01-18 03:27:00,2024-01-18 03:30:00,2024-01-18 03:40:00,Chicago,41.750885,-87.759132,R10003,Advocate Illinois Masonic,41.938242,-87.653913
900004,Traffic Collision,MEDIC,2024-03-26 16:22:00,2024-03-26 16:23:00,2024-03-26 16:29:00,2024-03-26 16:35:00,2024-03-26 17:01:00,Chicago,41.944569,-87.853118,R10004,Holy Cross Hospital,41.777816,-87.697524
900005,Traffic Collision,MEDIC,2024-01-03 12:49:00,2024-01-03 12:53:00,2024-01-03 13:03:00,2024-01-03 13:10:00,2024-01-03 13:37:00,Chicago,41.882574,-87.660004,R10005,Advocate Illinois Masonic,41.937092,-87.653412
900006,Traffic Collision,MEDIC,2024-03-09 10:18:00,2024-03-09 10:23:00,2024-03-09 10:25:00,2024-03-09 10:28:00,2024-03-09 10:40:00,Chicago,41.987185,-87.663609,R10006,UIC Hospital,41.871371,-87.673402
900007,Traffic Collision,AMBULANCE,2024-03-02 14:00:00,2024-03-02 14:05:00,2024-03-02 14:13:00,2024-03-02 14:15:00,2024-03-02 14:39:00,Chicago,41.787309,-87.61293,R10007,Northwestern Memorial Hospital,41.893456,-87.619889
900008,Medical Incident,AMBULANCE,2024-04-16 23:09:00,2024-04-16 23:10:00,2024-04-16 23:17:00,2024-04-16 23:18:00,2024-04-16 23:39:00,Chicago,42.01907,-87.769598,R10008,Saints Mary and Elizabeth,41.9014,-87.683053
900009,Medical Incident,MEDIC,2024-04-26 12:57:00,2024-04-26 13:00:00,2024-04-26 13:09:00,2024-04-26 13:13:00,2024-04-26 13:40:00,Chicago,41.823848,-87.865412,R10009,Saints Mary and Elizabeth,41.901398,-87.682148
900010,Traffic Collision,MEDIC,2024-03-10 04:05:00,2024-03-10 04:09:00,2024-03-10 04:11:00,2024-03-10 04:12:00,2024-03-10 04:26:00,Chicago,41.813409,-87.931176,R10010,St. Bernard Hospital,41.777466,-87.641006
900011,Traffic Collision,ENGINE,2024-06-23 01:01:00,2024-06-23 01:05:00,2024-06-23 01:13:00,2024-06-23 01:14:00,2024-06-23 01:27:00,Chicago,41.874682,-87.725665,R10011,Rush University Medical Center,41.874823,-87.677221
900012,Medical Incident,MEDIC,2024-03-20 02:40:00,2024-03-20 02:41:00,2024-03-20 02:51:00,2024-03-20 02:58:00,2024-03-20 03:10:00,Chicago,41.847702,-87.673261,R10012,Northwestern Memorial Hospital,41.896778,-87.618806
900013,Traffic Collision,MEDIC,2024-02-18 01:03:00,2024-02-18 01:07:00,2024-02-18 01:09:00,2024-02-18 01:15:00,2024-02-18 01:38:00,Chicago,41.772379,-87.671566,R10013,UIC Hospital,41.872738,-87.673829
900014,Traffic Collision,MEDIC,2024-01-12 22:41:00,2024-01-12 22:47:00,2024-01-12 22:51:00,2024-01-12 22:57:00,2024-01-12 23:14:00,Chicago,41.922763,-87.593602,R10014,Northwestern Memorial Hospital,41.892991,-87.621583
900015,Traffic Collision,MEDIC,2024-04-08 02:31:00,2024-04-08 02:34:00,2024-04-08 02:38:00,2024-04-08 02:43:00,2024-04-08 03:05:00,Chicago,41.780026,-87.715333,R10015,St. Bernard Hospital,41.777539,-87.639943
900016,Medical Incident,MEDIC,2024-04-24 20:50:00,2024-04-24 20:52:00,2024-04-24 21:00:00,2024-04-24 21:07:00,2024-04-24 21:18:00,Chicago,41.921717,-87.749009,R10016,Northwestern Memorial Hospital,41.892869,-87.619866
900017,Traffic Collision,ENGINE,2024-03-23 02:52:00,2024-03-23 02:58:00,2024-03-23 03:07:00,2024-03-23 03:12:00,2024-03-23 03:35:00,Chicago,41.940621,-87.928132,R10017,Saints Mary and Elizabeth,41.901323,-87.683388
900018,Traffic Collision,MEDIC,2024-06-07 21:10:00,2024-06-07 21:15:00,2024-06-07 21:25:00,2024-06-07 21:28:00,2024-06-07 21:48:00,Chicago,41.830047,-87.710908,R10018,St. Bernard Hospital,41.778582,-87.640112
900019,Medical Incident,AMBULANCE,2024-06-11 21:28:00,2024-06-11 21:33:00,2024-06-11 21:40:00,2024-06-11 21:42:00,2024-06-11 22:00:00,Chicago,41.99333,-87.83784,R10019,St. Bernard Hospital,41.777161,-87.641309
900020,Traffic Collision,ENGINE,2024-03-13 17:37:00,2024-03-13 17:38:00,2024-03-13 17:48:00,2024-03-13 17:50:00,2024-03-13 18:06:00,Chicago,41.83195,-87.621592,R10020,Northwestern Memorial Hospital,41.892492,-87.6189
900021,Medical Incident,MEDIC,2024-02-19 02:00:00,2024-02-19 02:05:00,2024-02-19 02:10:00,2024-02-19 02:12:00,2024-02-19 02:41:00,Chicago,41.760471,-87.796719,R10021,Saints Mary and Elizabeth,41.900894,-87.685196
